Stock,Date,Open,High,Low,Close,Volume,Adjusted
BB,6/10/2020,5.63,5.68,5.5,5.57,2857500,5.57
BB,6/11/2020,5.26,5.33,5.02,5.03,5896500,5.03
BB,6/12/2020,5.24,5.35,5.15,5.25,4118100,5.25
BB,6/15/2020,5.07,5.08,4.91,4.99,6506700,4.99
BB,6/16/2020,5.2,5.29,5.11,5.22,5589400,5.22
BB,6/17/2020,5.3,5.36,5.09,5.1,3608100,5.1
BB,6/18/2020,5.08,5.14,5.01,5.08,3764900,5.08
BB,6/19/2020,5.14,5.16,4.95,5.06,8341700,5.06
BB,6/22/2020,5.13,5.24,5.08,5.12,5146700,5.12
BB,6/23/2020,5.18,5.24,5.08,5.1,4459700,5.1
BB,6/24/2020,5.08,5.08,4.85,4.92,7844400,4.92
BB,6/25/2020,4.63,4.89,4.61,4.85,7956500,4.85
BB,6/26/2020,4.86,4.92,4.72,4.72,4769200,4.72
BB,6/29/2020,4.76,4.84,4.64,4.8,4448700,4.8
BB,6/30/2020,4.78,4.9,4.74,4.89,4433200,4.89
BB,7/1/2020,4.85,4.85,4.73,4.78,3522800,4.78
BB,7/2/2020,4.79,4.95,4.77,4.85,6370600,4.85
BB,7/6/2020,4.93,5.08,4.92,5.02,4578900,5.02
BB,7/7/2020,4.99,5,4.79,4.8,2831900,4.8
BB,7/8/2020,4.8,4.87,4.74,4.84,2486600,4.84
BB,7/9/2020,4.85,4.87,4.69,4.81,2714800,4.81
BB,7/10/2020,4.77,4.81,4.7,4.73,2852000,4.73
BB,7/13/2020,4.75,4.79,4.56,4.58,3526900,4.58
BB,7/14/2020,4.55,4.61,4.45,4.58,3662800,4.58
BB,7/15/2020,4.65,4.73,4.61,4.71,3575500,4.71
BB,7/16/2020,4.65,4.68,4.57,4.65,2076300,4.65
BB,7/17/2020,4.63,4.85,4.63,4.8,2771600,4.8
BB,7/20/2020,4.82,5.03,4.82,4.99,3248600,4.99
BB,7/21/2020,5.05,5.06,4.84,4.85,3337400,4.85
BB,7/22/2020,4.8,4.9,4.77,4.79,2395500,4.79
BB,7/23/2020,4.77,4.85,4.71,4.74,3280500,4.74
BB,7/24/2020,4.68,4.7,4.6,4.65,3103700,4.65
BB,7/27/2020,4.65,4.7,4.56,4.69,2975600,4.69
BB,7/28/2020,4.7,4.74,4.62,4.66,2635000,4.66
BB,7/29/2020,4.73,4.91,4.68,4.87,3937200,4.87
BB,7/30/2020,4.77,4.83,4.68,4.74,3197500,4.74
BB,7/31/2020,4.75,4.78,4.65,4.74,2165900,4.74
BB,8/3/2020,4.73,4.75,4.67,4.74,1905700,4.74
BB,8/4/2020,4.7,4.76,4.66,4.75,3146700,4.75
BB,8/5/2020,4.78,4.86,4.75,4.84,2314600,4.84
BB,8/6/2020,4.83,5.07,4.76,4.96,5436300,4.96
BB,8/7/2020,4.97,5.16,4.81,4.84,5364600,4.84
BB,8/10/2020,4.87,4.93,4.77,4.84,2386700,4.84
BB,8/11/2020,4.86,4.9,4.76,4.79,3279900,4.79
BB,8/12/2020,4.79,4.89,4.79,4.82,1893900,4.82
BB,8/13/2020,4.81,4.95,4.81,4.89,2495600,4.89
BB,8/14/2020,4.88,4.9,4.75,4.8,2574800,4.8
